,
Company,Market Cap (Cr)
Reliance Industries Ltd.,"19,12,544"
HDFC Bank Ltd.,"12,13,504"
Bharti Airtel Ltd.,"10,69,379"
State Bank of India,"9,98,845"
ICICI Bank Ltd.,"9,07,602"
Tata Consultancy Services Ltd.,"8,59,477"
Bajaj Finance Ltd.,"5,14,599"
Infosys Ltd.,"5,03,274"
Larsen & Toubro Ltd.,"4,93,596"
Life Insurance Corporation of India,"4,91,136"
Hindustan Unilever Ltd.,"4,89,514"
Sun Pharmaceutical Industries Ltd.,"4,23,483"
Maruti Suzuki India Ltd.,"3,98,380"
Mahindra & Mahindra Ltd.,"3,81,452"
Axis Bank Ltd.,"3,80,230"
ITC Ltd.,"3,79,949"
NTPC Ltd.,"3,71,140"
Kotak Mahindra Bank Ltd.,"3,66,875"
Titan Company Ltd.,"3,65,226"
HCL Technologies Ltd.,"3,63,305"
Oil And Natural Gas Corporation Ltd.,"3,42,309"
UltraTech Cement Ltd.,"3,20,935"
Bharat Electronics Ltd.,"3,19,072"
Adani Power Ltd.,"2,97,929"
Adani Ports & Special Economic Zone Ltd.,"2,96,933"
Coal India Ltd.,"2,89,802"
JSW Steel Ltd.,"2,84,920"
Power Grid Corporation of India Ltd.,"2,81,390"
Bajaj Finserv Ltd.,"2,75,519"
Vedanta Ltd.,"2,67,040"
Hindustan Aeronautics Ltd.,"2,58,455"
Bajaj Auto Ltd.,"2,52,331"
Avenue Supermarts Ltd.,"2,48,053"
Tata Steel Ltd.,"2,47,449"
Adani Enterprises Ltd.,"2,47,262"
Nestle India Ltd.,"2,28,544"
Eternal Ltd.,"2,24,178"
Hindustan Zinc Ltd.,"2,19,717"
Asian Paints Ltd.,"2,12,127"
Indian Oil Corporation Ltd.,"2,08,429"
Hindalco Industries Ltd.,"2,01,745"
Wipro Ltd.,"1,99,253"
SBI Life Insurance Company Ltd.,"1,90,628"
Eicher Motors Ltd.,"1,88,163"
Grasim Industries Ltd.,"1,79,072"
Shriram Finance Ltd.,"1,77,300"
TVS Motor Company Ltd.,"1,65,506"
InterGlobe Aviation Ltd.,"1,62,648"
Divi's Laboratories Ltd.,"1,61,139"
Hyundai Motor India Ltd.,"1,59,209"
Tata Motors Ltd.,"1,54,529"
Jio Financial Services Ltd.,"1,54,508"
Adani Green Energy Ltd.,"1,46,030"
Bank of Baroda,"1,45,186"
Torrent Pharmaceuticals Ltd.,"1,43,426"
Power Finance Corporation Ltd.,"1,41,360"
ICICI Prudential Asset Management Company Ltd.,"1,40,572"
DLF Ltd.,"1,37,603"
Varun Beverages Ltd.,"1,37,550"
Britannia Industries Ltd.,"1,37,415"
HDFC Life Insurance Company Ltd.,"1,36,459"
Union Bank of India,"1,36,184"
Pidilite Industries Ltd.,"1,35,882"
Tech Mahindra Ltd.,"1,35,267"
ABB India Ltd.,"1,34,848"
Tata Capital Ltd.,"1,34,775"
Tata Power Company Ltd.,"1,32,718"
Muthoot Finance Ltd.,"1,31,782"
Punjab National Bank,"1,30,100"
Cummins India Ltd.,"1,28,305"
Bharat Petroleum Corporation Ltd.,"1,27,465"
Canara Bank,"1,26,381"
Indian Railway Finance Corporation Ltd.,"1,26,307"
Trent Ltd.,"1,25,896"
Adani Energy Solutions Ltd.,"1,24,669"
Cholamandalam Investment & Finance Company Ltd.,"1,22,737"
Solar Industries India Ltd.,"1,20,741"
Samvardhana Motherson International Ltd.,"1,20,701"
LTIMindtree Ltd.,"1,20,522"
Indian Bank,"1,20,452"
Jindal Steel Ltd.,"1,19,677"
Tata Motors Passenger Vehicles Ltd.,"1,15,884"
BSE Ltd.,"1,15,743"
Indus Towers Ltd.,"1,15,209"
Hitachi Energy India Ltd.,"1,13,526"
Siemens Ltd.,"1,11,964"
CG Power and Industrial Solutions Ltd.,"1,10,276"
Polycab India Ltd.,"1,09,601"
Bajaj Holdings & Investment Ltd.,"1,08,433"
Dr. Reddy's Laboratories Ltd.,"1,08,363"
Hero MotoCorp Ltd.,"1,05,827"
