20MICRONS,20 Microns Ltd,Metals & Mining,Industrial Minerals
21STCENMGM,Twentyfirst Century Management Services Ltd,Financial Services,Other Capital Market related Services
360ONE,360 One Wam Ltd,Financial Services,Stockbroking & Allied
3IINFOLTD,3I Infotech Ltd ,Information Technology,Computers - Software & Consulting
3MINDIA,3M India Ltd ,Diversified,Diversified
3PLAND,3P Land Holdings Ltd,Financial Services,Investment Company
5PAISA,5Paisa Capital Ltd,Financial Services,Stockbroking & Allied
63MOONS,63 Moons Technologies Ltd,Information Technology,Computers - Software & Consulting
A2ZINFRA,A2Z Infra Engineering Limited,Construction,Civil Construction
AAATECH,Aaa Technologies Ltd,Services,Consulting Services
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,Housing Finance Company
AAKAAR,Aakaar Medical Technologies Ltd,Fast Moving Consumer Goods,Personal Care
AAKASH,Aakash Exploration Services Ltd,Oil Gas & Consumable Fuels,Refineries & Marketing
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd ,Healthcare,Pharmaceuticals
AARON,Aaron Industries Ltd,Construction,Civil Construction
AARTECH,Aartech Solonics Ltd,Capital Goods,Heavy Electrical Equipment
AARTIDRUGS,Aarti Drugs Ltd ,Healthcare,Pharmaceuticals
AARTIIND,Aarti Industries Ltd ,Chemicals,Specialty Chemicals
AARTIPHARM,Aarti Pharmalabs Ltd,Healthcare,Pharmaceuticals
AARTISURF,Aarti Surfactants Ltd,Chemicals,Specialty Chemicals
AARVEEDEN,Aarvee Denims & Exports Ltd ,Textiles,Other Textile Products
AARVI,Aarvi Encon Ltd,Services,Diversified Commercial Services
AATMAJ,Aatmaj Healthcare Ltd ,Healthcare,Hospital
AAVAS,Aavas Financiers Ltd,Financial Services,Housing Finance Company
ABAN,Aban Offshore Ltd ,Oil Gas & Consumable Fuels,Offshore Support Solution Drilling
ABB,ABB India Limited,Capital Goods,Heavy Electrical Equipment
ABBOTINDIA,Abbott India Ltd ,Healthcare,Pharmaceuticals
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,Investment Company
ABCOTS,AB Cotspin India Ltd ,Textiles,Other Textile Products
ABDL,Allied Blenders And Distillers Ltd,Fast Moving Consumer Goods,Breweries & Distilleries
ABFRL,Aditya Birla Fashion And Retail Ltd,Consumer Services,Speciality Retail
ABGSEC,ETF,Z,Z
ABHAPOWER,Abha Power and Steel Ltd,Capital Goods,Castings & Forgings
ABINFRA,AB Infrabuild Ltd ,Construction Materials,Cement & Cement Products
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,Speciality Retail
ABMINTLLTD,ABM International Ltd,Services,Trading & Distributors
ABREL,Aditya Birla Real Estate Ltd,Realty,Residential- Commercial Projects
ABSLAMC,Aditya Birla Sun Life Amc Ltd,Financial Services,Asset Management Company
ABSLBANETF,ETF,Z,Z
ABSLLIQUID,ETF,Z,Z
ABSLNN50ET,ETF,Z,Z
ABSLPSE,ETF,Z,Z
ABSMARINE,ABS Marine Services Ltd,Services,Shipping
ACC,ACC Ltd ,Construction Materials,Cement & Cement Products
ACCELYA,Accelya Solutions India Ltd,Information Technology,Computers - Software & Consulting
ACCENTMIC,Accent Microcell Ltd,Healthcare,Pharmaceuticals
ACCORD,Accord Synergy Ltd,Telecommunication,Telecom - Cellular & Fixed line services
ACCPL,Accretion Pharmaceuticals Ltd,Healthcare,Pharmaceuticals
ACCURACY,Accuracy Shipping Ltd,Services,Logistics Solution Provider
ACE,Action Construction Equipment Ltd ,Capital Goods,Construction Vehicles
ACEINTEG,Ace Integrated Solutions Ltd,Services,Diversified Commercial Services
ACI,Archean Chemical Industries Ltd,Chemicals,Specialty Chemicals
ACL,Andhra Cements Ltd ,Construction Materials,Cement & Cement Products
ACLGATI,Allcargo Gati Ltd,Services,Logistics Solution Provider
ACMESOLAR,Acme Solar Holdings Ltd,Construction,Civil Construction
ACTIVEINFR,Active Infrastructure Ltd,Construction,Civil Construction
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,Pharmaceuticals
ADANIENSOL,Adani Energy Solutions Ltd,Power,Power Distribution
ADANIENT,Adani Enterprises Ltd ,Metals & Mining,Trading - Minerals
ADANIGREEN,Adani Green Energy Ltd,Power,Power Generation
ADANIPORTS,Adani Ports And Special Economic Zone Ltd ,Services,Port & Port services
ADANIPOWER,Adani Power Ltd ,Power,Integrated Power Utilities
ADFFOODS,ADF Foods Ltd   ,Fast Moving Consumer Goods,Packaged Foods
ADL,Archidply Decor Ltd,Consumer Durables,Plywood Boards/ Laminates
ADOR,Ador Welding Ltd ,Capital Goods,Other Industrial Products
ADROITINFO,Adroit Infotech Ltd,Information Technology,IT Enabled Services
ADSL,Allied Digital Services Ltd ,Information Technology,IT Enabled Services
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd ,Consumer Services,Hotels & Resorts
ADVENZYMES,Advanced Enzyme Technologies Ltd,Healthcare,Biotechnology
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,LPG/CNG/PNG/LNG Supplier
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,Oil Storage & Transportation
AEROENTER,Aeroflex Enterprises Ltd,Capital Goods,Iron & Steel Products
AEROFLEX,Aeroflex Industries Ltd,Capital Goods,Iron & Steel Products
AERON,Aeron Composite Ltd,Construction Materials,Cement & Cement Products
AESTHETIK,Aesthetik Engineers Ltd,Construction,Civil Construction
AETHER,Aether Industries Ltd,Chemicals,Specialty Chemicals
AFCONS,Afcons Infrastructure Ltd,Construction,Civil Construction
AFFLE,Affle (India) Ltd,Information Technology,IT Enabled Services
AFFORDABLE,Affordable Robotic & Automation Ltd,Capital Goods,Industrial Products
AFIL,Akme Fintrade (India) Ltd,Financial Services,Non Banking Financial Company (NBFC)
AFSL,Abans Financial Services Ltd,Financial Services,Non Banking Financial Company (NBFC)
AGARIND,Agarwal Industrial Corporation Ltd ,Chemicals,Petrochemicals
AGARWALEYE,Dr Agarwals Health Care Ltd,Healthcare,Hospital
AGARWALFT,Agarwal Float Glass India Ltd,Services,Trading & Distributors
AGARWALTUF,Agarwal Toughened Glass India Ltd,Capital Goods,Glass - Industrial
